title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"Robotic Perception of Transparent Objects: A Review",2024,"IEEE TAI / arXiv","https://arxiv.org/abs/2304.00157","survey","4","4","N/A survey","A","透明物体机器人感知综述，覆盖分割、重建、位姿、多模态传感和数据集。","适合作为问题边界和 reviewer threat 总表；不提供 A2 结果。"
"Survey on Monocular Metric Depth Estimation",2025,"arXiv survey","https://arxiv.org/abs/2501.11841","survey","3","3","N/A survey","B","补足 MDE/metric depth 背景，强调相对深度到米制尺度的部署缺口。","作为 A2 metric/affine 协议背景，不是透明物体专门综述。"
"ClearGrasp: 3D Shape Estimation of Transparent Objects for Manipulation",2020,"ICRA / arXiv","https://arxiv.org/abs/1910.02550","method + benchmark","5","4","4","A","透明物体深度矫正经典起点：RGB-D 输入，预测法线、透明 mask、边界并修正深度，用于抓取。","强基线；A2 若进入透明抓取场景，必须解释为何不是 ClearGrasp 式后处理。"
"RGB-D Local Implicit Function for Depth Completion of Transparent Objects",2021,"CVPR / arXiv","https://arxiv.org/abs/2104.00622","pure method","4","4","4","A","用 local implicit representation 做透明物体 depth completion，强调泛化和速度。","强 RGB-D completion 基线；适合作为 patch/post-hoc 类对照。"
"Seeing Glass: Joint Point Cloud and Depth Completion for Transparent Objects",2021,"CoRL / PMLR","https://proceedings.mlr.press/v164/xu22b.html","pure method","4","4","4","A","TranspareNet 联合点云与深度补全，面向透明物体缺失深度。","说明点云/深度联合比单纯图像更常见；A2 要说明低传感器成本优势。"
"Dex-NeRF: Using a Neural Radiance Field to Grasp Transparent Objects",2022,"CoRL / PMLR","https://proceedings.mlr.press/v164/ichnowski22a.html","system/tool","4","4","4","B","用 NeRF 建模透明物体并支持抓取，代表多视图/主动感知路线。","机器人强相关但成本高；可作为不走单目路线的系统威胁。"
"TransCG: A Large-Scale Real-World Dataset for Transparent Object Depth Completion and a Grasping Baseline",2022,"IEEE RA-L","https://arxiv.org/abs/2202.08471","method + benchmark","5","5","4","A","大规模真实透明物体 depth completion 数据集，含抓取 baseline。","最适合 A2 透明抓取 failure slice 的数据起点之一。"
"ClearPose: Large-scale Transparent Object Dataset and Benchmark",2022,"ECCV","https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136680372.pdf","pure benchmark","4","4","N/A benchmark","A","透明物体数据集/benchmark，常被 depth completion 与 pose/reconstruction 工作复用。","适合作为外部泛化和遮挡复杂度测试。"
"Domain Randomization-Enhanced Depth Simulation and Restoration for Perceiving and Grasping Specular and Transparent Objects",2022,"ECCV","https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136990369.pdf","method + benchmark","4","4","4","A","DREDS/SwinDRNet：sim2real 深度 restoration，直接面向反光/透明物体抓取。","证明合成域随机化和 restoration 是强威胁；A2 不应主张数据优势。"
"Booster: a Benchmark for Depth from Images of Specular and Transparent Surfaces",2023,"arXiv / benchmark","https://arxiv.org/abs/2301.08245","pure benchmark","4","4","N/A benchmark","A","高分辨率非朗伯深度 benchmark，含透明/镜面 material masks。","非常适合评估 MDE foundation models 的非朗伯 failure slice。"
"Challenges of Depth Estimation for Transparent Objects",2023,"SSRR / TU Wien PDF","https://repositum.tuwien.at/bitstream/20.500.12708/190761/1/Weibel-2023-Challenges%20ofDepth%20Estimation%20forTransparent%20Objects-am.pdf","other","3","3","3","B","聚焦透明物体深度估计挑战和数据/传感缺口。","可作为问题陈述辅助，不作为主基线。"
"Learning Depth Estimation for Transparent and Mirror Surfaces",2023,"ICCV / arXiv","https://arxiv.org/abs/2307.15052","pure method","4","4","4","A","Depth4ToM：用 inpainting + MDE pseudo labels 训练透明/镜面区域深度。","接近 MDE 透明物体适配；A2 需区分 training-free 或采样期锚定。"
"Transparent Object Depth Completion",2024,"arXiv","https://arxiv.org/abs/2405.15299","pure method","3","3","4","B","融合 single-view RGB-D completion 与 multi-view depth，再用 confidence refinement。","多视图 refinement 威胁；提示遮挡场景需要不止单图。"
"ASGrasp: Generalizable Transparent Object Reconstruction and 6-DoF Grasp Detection from RGB-D Active Stereo Camera",2024,"ICRA / arXiv","https://arxiv.org/abs/2405.05648","system/tool","4","4","4","A","主动立体输入，直接服务透明/反光物体 6-DoF grasp。","机器人强基线；若 A2 主打低成本 RGB，应把传感器成本和场景约束写清楚。"
"Towards Robust Monocular Depth Estimation in Non-Lambertian Surfaces",2024,"arXiv","https://arxiv.org/abs/2408.06083","pure method","4","4","4","A","针对透明/镜面 ToM 区域训练 MDE，引入区域引导和 tone mapping augmentation。","MDE 透明/反光强近邻；是“直接微调基础 MDE”的 reviewer threat。"
"ClearDepth: Enhanced Stereo Perception of Transparent Objects for Robotic Manipulation",2024,"arXiv / project","https://arxiv.org/abs/2409.08926","method + benchmark","4","4","4","A","ViT stereo depth recovery + 物理仿真 sim2real，面向透明物体机器人操作。","说明 stereo/sim2real 仍在推进；A2 单目路线需强调成本和 deployment。"
"Seeing and Seeing Through the Glass: Real and Synthetic Data for Multi-Layer Depth Estimation",2025,"arXiv / dataset","https://arxiv.org/abs/2503.11633","pure benchmark","5","4","N/A benchmark","Risk","LayeredDepth：透明物体多层深度，不只前表面单层 depth。","对所有单层 MDE/深度矫正都是概念威胁：抓取需要明确接触面定义。"
"Monocular Depth Estimation and Segmentation for Transparent Object with Iterative Semantic and Geometric Fusion",2025,"arXiv","https://arxiv.org/abs/2502.14616","pure method","4","4","4","A","MODEST：单 RGB 同时做透明物体分割与深度，迭代语义/几何融合。","直接单目近邻；A2 若用 mask/语义，需要说明是否依赖同类模块。"
"Monocular One-Shot Metric-Depth Alignment for RGB-Based Robot Grasping",2025,"arXiv","https://arxiv.org/abs/2506.17110","system/tool","5","4","4","Risk","MOMA：单 RGB + one-shot sparse depth calibration，把 affine-invariant MDE 对齐到 metric，用于真实抓取。","与 A2 稀疏锚/metric grounding 非常近；A2 必须强调采样期注入和同源后处理对照。"
"Rethinking Transparent Object Grasping: Depth Completion with Monocular Depth Estimation and Instance Mask",2026,"IEEE RA-L 11(5) / arXiv","https://arxiv.org/abs/2508.02507","pure method","4","4","4","Risk","ReMake：instance mask + MDE 引导 RGB-D depth completion，专门服务透明物体抓取。","最接近“透明抓取需要 depth correction”的新近威胁。"
"SeeClear: Reliable Transparent Object Depth Estimation via Generative Opacification",2026,"arXiv / project","https://arxiv.org/abs/2603.19547","pure method","5","4","4","Risk","把透明区域生成式 opacification 后交给 off-the-shelf MDE，降低透明外观导致的不稳定。","如果 A2 只说用 MDE 处理透明物体，会被 SeeClear 直接压住。"
"SeeGroup: Multi-Layer Depth Estimation of Transparent Surfaces via Self-Determined Grouping",2026,"arXiv / CVPR 2026","https://arxiv.org/abs/2605.28735","pure method","5","4","4","Risk","将多层 depth 建模为 unordered events/point process，避免固定层分组。","多层深度的强近邻；A2 若只输出单层 metric depth，应限定为接触/前表面。"
"AISPO: Enhancing Depth Reliability for Robotic Manipulation of Non-Lambertian Objects via Affine-Invariant Shape Prior",2026,"IEEE RA-L 11(7) forthcoming / arXiv","https://arxiv.org/abs/2606.25503","pure method","5","4","4","Risk","用 affine-invariant shape prior 强化非朗伯物体深度可靠性，目标是机器人操作中的物理可用性。","和 A2 的 affine-invariant prior + metric correction 关系很近；需作为高优先级威胁。"
